Date,Time,Visitor,G,Home,G,,Att.,LOG
2023-11-14,8:00 PM,New Jersey Devils,3,Winnipeg Jets,6,,11717,2:29
2023-11-14,7:00 PM,Vegas Golden Knights,0,Washington Capitals,3,,16598,2:34
2023-11-15,7:30 PM,Philadelphia Flyers,3,Carolina Hurricanes,1,,18700,2:32
2023-11-15,9:00 PM,Anaheim Ducks,2,Colorado Avalanche,8,,18029,2:32
2023-11-15,8:30 PM,Seattle Kraken,3,Edmonton Oilers,4,OT,18347,2:40
2023-11-15,10:00 PM,New York Islanders,3,Vancouver Canucks,4,OT,18972,2:42
2023-11-16,7:00 PM,Arizona Coyotes,3,Columbus Blue Jackets,2,,15909,2:28
2023-11-16,9:00 PM,Vancouver Canucks,2,Calgary Flames,5,,17501,2:33
2023-11-16,8:00 PM,Tampa Bay Lightning,4,Chicago Blackhawks,2,,18691,2:34
2023-11-16,10:30 PM,Florida Panthers,1,Los Angeles Kings,2,,17243,2:29
2023-11-16,7:00 PM,Vegas Golden Knights,6,Montreal Canadiens,5,,21105,2:39
2023-11-16,2:00 PM,Detroit Red Wings,4,Ottawa Senators,5,OT,12487,2:48
2023-11-16,7:00 PM,New Jersey Devils,5,Pittsburgh Penguins,2,,18321,2:24
2023-11-16,10:00 PM,New York Islanders,3,Seattle Kraken,4,SO,17151,2:46
2023-11-16,10:30 PM,St. Louis Blues,1,San Jose Sharks,5,,10452,2:31
2023-11-17,10:00 PM,Florida Panthers,2,Anaheim Ducks,1,,14932,2:42
2023-11-17,2:00 PM,Toronto Maple Leafs,3,Detroit Red Wings,2,,13510,2:40
2023-11-17,8:00 PM,Buffalo Sabres,2,Winnipeg Jets,3,,11340,2:21
2023-11-18,7:00 PM,Montreal Canadiens,2,Boston Bruins,5,,17850,2:29
2023-11-18,7:00 PM,Pittsburgh Penguins,2,Carolina Hurricanes,4,,18700,2:32
2023-11-18,7:00 PM,New York Islanders,5,Calgary Flames,4,SO,17167,2:36
2023-11-18,8:00 PM,Colorado Avalanche,6,Dallas Stars,3,,18532,2:28
2023-11-18,10:30 PM,St. Louis Blues,1,Los Angeles Kings,5,,18145,2:18
2023-11-18,7:00 PM,New York Rangers,5,New Jersey Devils,3,,17086,2:32
2023-11-18,2:00 PM,Chicago Blackhawks,2,Nashville Predators,4,,17397,2:27
2023-11-18,11:00 AM,Minnesota Wild,1,Ottawa Senators,2,SO,13213,2:38
2023-11-18,1:00 PM,Vegas Golden Knights,3,Philadelphia Flyers,4,OT,18113,2:35
2023-11-18,4:00 PM,Edmonton Oilers,4,Tampa Bay Lightning,6,,19092,2:33
2023-11-18,10:00 PM,Seattle Kraken,4,Vancouver Canucks,3,,18857,2:28
2023-11-18,7:00 PM,Arizona Coyotes,2,Winnipeg Jets,5,,12103,2:29
2023-11-18,7:30 PM,Columbus Blue Jackets,3,Washington Capitals,4,,18573,2:37
2023-11-19,8:00 PM,St. Louis Blues,3,Anaheim Ducks,1,,15243,2:24
2023-11-19,7:00 PM,Buffalo Sabres,3,Chicago Blackhawks,2,,19027,2:21
2023-11-19,8:00 AM,Toronto Maple Leafs,4,Minnesota Wild,3,OT,13356,2:38
2023-11-19,5:30 PM,Columbus Blue Jackets,2,Philadelphia Flyers,5,,17416,2:36
2023-11-19,6:00 PM,Vegas Golden Knights,0,Pittsburgh Penguins,3,,18120,2:30
2023-11-20,9:00 PM,Los Angeles Kings,4,Arizona Coyotes,1,,4600,2:27
2023-11-20,8:00 PM,New York Rangers,3,Dallas Stars,6,,18532,2:33
2023-11-20,7:00 PM,Edmonton Oilers,3,Florida Panthers,5,,19628,2:43
2023-11-20,8:00 PM,Colorado Avalanche,3,Nashville Predators,4,,17159,2:22
2023-11-20,10:00 PM,Calgary Flames,4,Seattle Kraken,3,OT,17151,2:33
2023-11-20,7:00 PM,Boston Bruins,4,Tampa Bay Lightning,5,OT,19092,2:42
2023-11-20,10:00 PM,San Jose Sharks,1,Vancouver Canucks,3,,18718,2:26
2023-11-22,10:00 PM,Montreal Canadiens,4,Anaheim Ducks,3,,15168,2:31
2023-11-22,9:00 PM,St. Louis Blues,6,Arizona Coyotes,5,,4600,2:33
2023-11-22,7:00 PM,Edmonton Oilers,3,Carolina Hurricanes,6,,18805,2:34
2023-11-22,7:00 PM,Chicago Blackhawks,3,Columbus Blue Jackets,7,,18158,2:21
2023-11-22,10:00 PM,Vancouver Canucks,2,Colorado Avalanche,5,,18133,2:32
2023-11-22,9:30 PM,Vegas Golden Knights,2,Dallas Stars,1,OT,18532,2:31
2023-11-22,7:00 PM,New Jersey Devils,0,Detroit Red Wings,4,,19515,2:17
2023-11-22,7:00 PM,Boston Bruins,3,Florida Panthers,1,,19327,2:28
2023-11-22,9:00 PM,Calgary Flames,2,Nashville Predators,4,,17252,2:38
2023-11-22,7:30 PM,Philadelphia Flyers,2,New York Islanders,3,,17255,2:30
2023-11-22,7:00 PM,New York Rangers,1,Pittsburgh Penguins,0,,18250,2:31
2023-11-22,10:00 PM,San Jose Sharks,1,Seattle Kraken,7,,17151,2:25
2023-11-22,7:00 PM,Winnipeg Jets,3,Tampa Bay Lightning,2,OT,19092,2:24
2023-11-22,7:00 PM,Buffalo Sabres,3,Washington Capitals,4,OT,18573,2:29
2023-11-24,3:30 PM,Los Angeles Kings,5,Anaheim Ducks,2,,17205,2:33
2023-11-24,1:00 PM,Detroit Red Wings,5,Boston Bruins,2,,17850,2:35
2023-11-24,6:00 PM,Pittsburgh Penguins,2,Buffalo Sabres,3,,19070,2:29
2023-11-24,8:00 PM,Tampa Bay Lightning,8,Carolina Hurricanes,2,,18802,2:34
2023-11-24,2:00 PM,Toronto Maple Leafs,3,Chicago Blackhawks,4,OT,20238,2:32
2023-11-24,8:30 PM,Calgary Flames,7,Dallas Stars,4,,18532,2:20
2023-11-24,8:00 PM,Winnipeg Jets,3,Florida Panthers,0,,18801,2:30
2023-11-24,8:30 PM,Colorado Avalanche,3,Minnesota Wild,2,,19057,2:23
2023-11-24,3:00 PM,Columbus Blue Jackets,2,New Jersey Devils,1,,16514,2:22
2023-11-24,7:30 PM,New York Islanders,5,Ottawa Senators,3,,17693,2:30
2023-11-24,1:00 PM,New York Rangers,3,Philadelphia Flyers,1,,19032,2:31
